10,5,0,0,3,2,3,0,0,0,0,0,0,0,0,1
5,10,5,1,5,0,0,0,0,0,0,0,0,0,0,0
0,5,10,5,4,0,0,0,0,0,0,0,0,0,0,0
0,1,5,10,4,0,0,0,0,3,0,0,0,0,3,0
3,5,4,4,10,2,0,0,0,2,0,0,0,0,0,0
2,0,0,0,2,10,6,3,0,2,0,0,0,0,0,0
3,0,0,0,0,6,10,5,2,0,0,0,0,0,0,0
0,0,0,0,0,3,5,10,4,2,1,0,0,0,0,0
0,0,0,0,0,0,2,4,10,0,1,1,0,0,0,3
0,0,0,3,2,2,0,2,0,10,2,0,2,0,3,0
0,0,0,0,0,0,0,1,1,2,10,5,3,4,0,0
0,0,0,0,0,0,0,0,1,0,5,10,1,6,0,3
0,0,0,0,0,0,0,0,0,2,3,1,10,5,4,1
0,0,0,0,0,0,0,0,0,0,4,6,5,10,0,2
0,0,0,3,0,0,0,0,0,3,0,0,4,0,10,3
1,0,0,0,0,0,0,0,3,0,0,3,1,2,3,10
